Consensus,Player,Player Link,Player Slug/ID,Consensus Pos,Team/Bye,BestBall10s,CBS,DraftKings,Drafters,ESPN,MFL,NFFC,NFLcom,RT Sports,Sleeper,Underdog,Yahoo!
36,Mike Evans,https://www.footballguys.com/player/Mike+Evans/EvanMi00,EvanMi00,WR16,TB/9,33,38,32,32,42,37,39,33,49,39,34,34
37,Marvin Harrison Jr.,https://www.footballguys.com/player/Marvin+Harrison+Jr+/HarrMa05,HarrMa05,WR17,ARI/8,36,45,36,36,45,42,33,41,45,36,30,38
40,Davante Adams,https://www.footballguys.com/player/Davante+Adams/AdamDa01,AdamDa01,WR18,LAR/8,59,35,39,40,34,49,38,46,42,43,35,45
42,Terry McLaurin,https://www.footballguys.com/player/Terry+McLaurin/McLaTe00,McLaTe00,WR19,WAS/12,51,43,48,44,37,47,47,29,40,41,41,42
46,DJ Moore,https://www.footballguys.com/player/DJ+Moore/MoorDJ00,MoorDJ00,WR20,CHI/5,56,53,51,49,53,54,45,48,51,49,47,55
47,Courtland Sutton,https://www.footballguys.com/player/Courtland+Sutton/SuttCo00,SuttCo00,WR21,DEN/12,46,54,45,46,58,52,48,55,50,51,50,58
49,Xavier Worthy,https://www.footballguys.com/player/Xavier+Worthy/WortXa00,WortXa00,WR22,KC/10,61,51,41,43,48,58,43,68,61,55,39,57
50,DK Metcalf,https://www.footballguys.com/player/DK+Metcalf/MetcDK00,MetcDK00,WR23,PIT/5,79,49,53,56,46,51,49,53,53,45,49,48
52,DeVonta Smith,https://www.footballguys.com/player/DeVonta+Smith/SmitDe04,SmitDe04,WR24,PHI/9,55,58,56,53,61,62,56,59,60,53,51,51
53,Tetairoa McMillan,https://www.footballguys.com/player/Tetairoa+McMillan/McMiTe00,McMiTe00,WR25,CAR/14,73,65,42,39,73,64,46,73,52,59,38,72
54,Jameson Williams,https://www.footballguys.com/player/Jameson+Williams/WillJa09,WillJa09,WR26,DET/8,74,67,46,48,67,60,52,51,64,61,45,65
56,George Pickens,https://www.footballguys.com/player/George+Pickens/PickGe00,PickGe00,WR27,DAL/10,75,64,49,45,63,70,51,75,62,58,42,56
58,Rashee Rice,https://www.footballguys.com/player/Rashee+Rice/RiceRa01,RiceRa01,WR28,KC/10,63,72,62,70,59,68,65,44,70,48,53,69
59,Calvin Ridley,https://www.footballguys.com/player/Calvin+Ridley/RidlCa00,RidlCa00,WR29,TEN/10,76,66,55,50,62,74,54,67,56,72,52,75
60,Zay Flowers,https://www.footballguys.com/player/Zay+Flowers/FlowZa00,FlowZa00,WR30,BAL/7,84,63,60,59,55,71,58,72,68,56,57,60
67,Jaylen Waddle,https://www.footballguys.com/player/Jaylen+Waddle/WaddJa00,WaddJa00,WR31,MIA/12,82,81,61,58,64,84,60,84,78,68,54,64
72,Jerry Jeudy,https://www.footballguys.com/player/Jerry+Jeudy/JeudJe00,JeudJe00,WR32,CLE/9,90,73,74,72,65,76,63,99,67,74,70,89
75,Rome Odunze,https://www.footballguys.com/player/Rome+Odunze/OdunRo00,OdunRo00,WR33,CHI/5,94,96,70,65,76,82,67,89,83,80,64,79
76,Chris Olave,https://www.footballguys.com/player/Chris+Olave/OlavCh00,OlavCh00,WR34,NO/11,95,93,78,71,86,78,75,86,82,75,66,78
78,Ricky Pearsall,https://www.footballguys.com/player/Ricky+Pearsall/PearRi00,PearRi00,WR35,SF/14,88,84,58,54,104,93,62,111,69,100,61,94
79,Emeka Egbuka,https://www.footballguys.com/player/Emeka+Egbuka/EgbuEm00,EgbuEm00,WR36,TB/9,91,99,52,51,108,85,61,122,71,101,62,93
80,Deebo Samuel Sr.,https://www.footballguys.com/player/Deebo+Samuel+Sr+/SamuDe00,SamuDe00,WR37,WAS/12,78,80,65,68,95,98,73,96,85,84,65,98
81,Stefon Diggs,https://www.footballguys.com/player/Stefon+Diggs/DiggSt00,DiggSt00,WR38,NE/14,106,88,75,66,83,102,78,94,84,87,69,97
84,Jakobi Meyers,https://www.footballguys.com/player/Jakobi+Meyers/MeyeJa00,MeyeJa00,WR39,LV/8,101,74,71,75,81,99,71,119,97,82,72,96
85,Jordan Addison,https://www.footballguys.com/player/Jordan+Addison/AddiJo00,AddiJo00,WR40,MIN/6,104,102,86,81,101,121,82,95,95,79,75,95
86,Matthew Golden,https://www.footballguys.com/player/Matthew+Golden/GoldMa00,GoldMa00,WR41,GB/5,108,101,69,67,84,107,79,118,87,94,68,115
92,Jauan Jennings,https://www.footballguys.com/player/Jauan+Jennings/JennJa00,JennJa00,WR42,SF/14,111,110,85,82,115,122,86,110,103,98,73,101
94,Cooper Kupp,https://www.footballguys.com/player/Cooper+Kupp/KuppCo00,KuppCo00,WR43,SEA/8,114,90,87,100,80,108,93,109,89,85,98,121
97,Khalil Shakir,https://www.footballguys.com/player/Khalil+Shakir/ShakKh00,ShakKh00,WR44,BUF/7,103,113,91,92,106,135,88,102,104,90,82,129
98,Chris Godwin,https://www.footballguys.com/player/Chris+Godwin/GodwCh00,GodwCh00,WR45,TB/9,98,85,117,118,88,133,107,91,102,93,93,102
105,Jayden Reed,https://www.footballguys.com/player/Jayden+Reed/ReedJa01,ReedJa01,WR46,GB/5,123,121,104,96,126,152,98,133,114,106,79,113
107,Michael Pittman Jr,https://www.footballguys.com/player/Michael+Pittman+Jr/PittMi01,PittMi01,WR47,IND/11,115,108,96,86,105,126,96,165,112,120,90,148
